+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7510/reaction                | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1633.000  | 1633.000   | 1633.000     | 1633.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7523/livecomment/1094/report | 0.144  | 0.144  | 0.144   | 0.144  | 0.144  | 0.144  | 0.144  | 0.000  | 2599.000  | 2599.000   | 2599.000     | 2599.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7511/reaction                | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1621.000  | 1621.000   | 1621.000     | 1621.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7537/moderate                | 2.772  | 2.772  | 2.772   | 2.772  | 2.772  | 2.772  | 2.772  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7512/reaction                | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1630.000  | 1630.000   | 1630.000     | 1630.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/yasuhiro650/icon                   | 0.092  | 0.092  | 0.092   | 0.092  | 0.092  | 0.092  | 0.092  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7513/reaction                | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1632.000  | 1632.000   | 1632.000     | 1632.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/tomoya540/icon                     | 0.272  | 0.272  | 0.272   | 0.272  | 0.272  | 0.272  | 0.272  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7514/reaction                | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1647.000  | 1647.000   | 1647.000     | 1647.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/takuma170/icon                     | 0.044  | 0.044  | 0.044   | 0.044  | 0.044  | 0.044  | 0.044  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7515/reaction                | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1627.000  | 1627.000   | 1627.000     | 1627.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7537/report                  | 0.120  | 0.120  | 0.120   | 0.120  | 0.120  | 0.120  | 0.120  | 0.000  | 3.000     | 3.000      | 3.000        | 3.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7516/reaction                | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1628.000  | 1628.000   | 1628.000     | 1628.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7537/ngwords                 | 0.164  | 0.164  | 0.164   | 0.164  | 0.164  | 0.164  | 0.164  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7517/reaction                | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1638.000  | 1638.000   | 1638.000     | 1638.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7508/report                  | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 3.000     | 3.000      | 3.000        | 3.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7508/livecomment             | 0.016  | 0.016  | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 1639.000  | 1639.000   | 1639.000     | 1639.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7508/livecomment             | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1737.000  | 1737.000   | 1737.000     | 1737.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7508/livecomment/1004/report | 0.016  | 0.016  | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 2321.000  | 2321.000   | 2321.000     | 2321.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7498/ngwords                 | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7538/enter                   | 0.032  | 0.032  | 0.032   | 0.032  | 0.032  | 0.032  | 0.032  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/nkato0/icon                        | 0.104  | 0.104  | 0.104   | 0.104  | 0.104  | 0.104  | 0.104  | 0.000  | 57439.000 | 57439.000  | 57439.000    | 57439.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7498/moderate                | 0.264  | 0.264  | 0.264   | 0.264  | 0.264  | 0.264  | 0.264  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/ryohei610/icon                     | 0.264  | 0.264  | 0.264   | 0.264  | 0.264  | 0.264  | 0.264  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7522/enter                   | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | DELETE | /api/livestream/7545/exit                    | 0.040  | 0.040  | 0.040   | 0.040  | 0.040  | 0.040  | 0.040  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/ryohei000/icon                     | 0.184  | 0.184  | 0.184   | 0.184  | 0.184  | 0.184  | 0.184  | 0.000  | 77188.000 | 77188.000  | 77188.000    | 77188.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/satomiishii0/icon                  | 0.076  | 0.076  | 0.076   | 0.076  | 0.076  | 0.076  | 0.076  | 0.000  | 53634.000 | 53634.000  | 53634.000    | 53634.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/naoki350/icon                      | 0.076  | 0.076  | 0.076   | 0.076  | 0.076  | 0.076  | 0.076  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/nanamimatsumoto0/icon              | 0.028  | 0.028  | 0.028   | 0.028  | 0.028  | 0.028  | 0.028  | 0.000  | 59222.000 | 59222.000  | 59222.000    | 59222.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/hiroshikobayashi0/icon             | 0.224  | 0.224  | 0.224   | 0.224  | 0.224  | 0.224  | 0.224  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/kobayashiyasuhiro1/icon            | 0.040  | 0.040  | 0.040   | 0.040  | 0.040  | 0.040  | 0.040  | 0.000  | 65786.000 | 65786.000  | 65786.000    | 65786.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/kobayashishota0/icon               | 0.100  | 0.100  | 0.100   | 0.100  | 0.100  | 0.100  | 0.100  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/fujiwarakenichi0/icon              | 0.380  | 0.380  | 0.380   | 0.380  | 0.380  | 0.380  | 0.380  | 0.000  | 76412.000 | 76412.000  | 76412.000    | 76412.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/yamadamiki0/icon                   | 0.052  | 0.052  | 0.052   | 0.052  | 0.052  | 0.052  | 0.052  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/tanakahiroshi0/icon                | 0.096  | 0.096  | 0.096   | 0.096  | 0.096  | 0.096  | 0.096  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/tanakanaoto0/icon                  | 0.208  | 0.208  | 0.208   | 0.208  | 0.208  | 0.208  | 0.208  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/csasaki0/icon                      | 0.184  | 0.184  | 0.184   | 0.184  | 0.184  | 0.184  | 0.184  | 0.000  | 65781.000 | 65781.000  | 65781.000    | 65781.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7524/enter                   | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/ykobayashi1/icon                   | 0.152  | 0.152  | 0.152   | 0.152  | 0.152  | 0.152  | 0.152  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/satomikobayashi0/icon              | 0.016  | 0.016  | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 77106.000 | 77106.000  | 77106.000    | 77106.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/shimizukumiko0/icon                | 0.044  | 0.044  | 0.044   | 0.044  | 0.044  | 0.044  | 0.044  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/qsaito0/icon                       | 0.016  | 0.016  | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 46388.000 | 46388.000  | 46388.000    | 46388.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/yoichiendo0/icon                   | 0.152  | 0.152  | 0.152   | 0.152  | 0.152  | 0.152  | 0.152  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/sotaronakamura0/icon               | 0.136  | 0.136  | 0.136   | 0.136  | 0.136  | 0.136  | 0.136  | 0.000  | 60297.000 | 60297.000  | 60297.000    | 60297.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7525/enter                   | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/yutasaito0/icon                    | 0.064  | 0.064  | 0.064   | 0.064  | 0.064  | 0.064  | 0.064  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/takumainoue0/icon                  | 0.144  | 0.144  | 0.144   | 0.144  | 0.144  | 0.144  | 0.144  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/rikanakajima0/icon                 | 0.064  | 0.064  | 0.064   | 0.064  | 0.064  | 0.064  | 0.064  | 0.000  | 40860.000 | 40860.000  | 40860.000    | 40860.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/yoshidakenichi0/icon               | 0.072  | 0.072  | 0.072   | 0.072  | 0.072  | 0.072  | 0.072  | 0.000  | 85416.000 | 85416.000  | 85416.000    | 85416.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/junmatsuda0/icon                   | 0.020  | 0.020  | 0.020   | 0.020  | 0.020  | 0.020  | 0.020  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/yuki500/icon                       | 0.152  | 0.152  | 0.152   | 0.152  | 0.152  | 0.152  | 0.152  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/nfukuda0/icon                      | 0.076  | 0.076  | 0.076   | 0.076  | 0.076  | 0.076  | 0.076  | 0.000  | 70068.000 | 70068.000  | 70068.000    | 70068.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/shimizuakemi0/icon                 | 0.176  | 0.176  | 0.176   | 0.176  | 0.176  | 0.176  | 0.176  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/wtanaka0/icon                      | 0.388  | 0.388  | 0.388   | 0.388  | 0.388  | 0.388  | 0.388  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7535/ngwords                 | 0.212  | 0.212  | 0.212   | 0.212  | 0.212  | 0.212  | 0.212  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7541/livecomment             | 0.296  | 0.296  | 0.296   | 0.296  | 0.296  | 0.296  | 0.296  | 0.000  | 1893.000  | 1893.000   | 1893.000     | 1893.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7541/livecomment/1124/report | 0.344  | 0.344  | 0.344   | 0.344  | 0.344  | 0.344  | 0.344  | 0.000  | 2600.000  | 2600.000   | 2600.000     | 2600.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7526/enter                   | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/yoshidamai0/icon                   | 0.108  | 0.108  | 0.108   | 0.108  | 0.108  | 0.108  | 0.108  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/ogawarika0/icon                    | 0.212  | 0.212  | 0.212   | 0.212  | 0.212  | 0.212  | 0.212  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
